21 11315 36455
0 0 1597.07 473.37
1 0 721.7 522.98
2 0 577.91 431.89
3 0 616.9 612.9
7 0 890.26 564.82
12 0 -252.76 -274.34
16 0 983.69 538.94
17 0 -1284.4 1003.56
0 1 1641.87 478.63
1 1 786.17 527.38
2 1 618.61 434.57
3 1 679.21 616.29
7 1 917.9 567.15
12 1 -226.44 -272.64
0 2 603.24 237.57
1 2 -837.29 285.84
0 3 1549.64 285.38
1 3 931.27 297.54
2 3 727.6 175.12
4 3 1483.55 382.53
5 3 1170.52 887.98
6 3 816.15 173.77
7 3 893.25 396.05
8 3 796.72 376.78
16 3 957.69 404.86
17 3 -1000.18 593.7
0 4 1682.8 478.94
1 4 845.37 522.94
2 4 659.84 431
3 4 737.37 610.35
7 4 947.48 565.96
12 4 -200.8 -275.06
17 4 -1154.41 995.26
18 4 28.12 194.11
20 4 27.78 -28.8101
0 5 1662.39 482.05
1 5 819.26 532.53
2 5 642.2 439.73
3 5 713.49 621.25
6 5 819.43 326.92
7 5 933.1 570.32
12 5 -212.85 -270.98
17 5 -1181.62 1007.34
18 5 19.09 197.06
0 6 538.57 405.43
1 6 -947.77 660.45
2 6 -296.86 355.39
4 6 879.92 443.4
5 6 412.4 860.78
7 6 233.9 494.42
8 6 -743.66 602.3
10 6 -249.92 -247.01
11 6 318.57 340.07
18 6 -478.67 138.15
0 7 1662.66 469.09
1 7 816.65 508.38
2 7 641.27 422.42
3 7 709.85 595.85
18 7 18.8101 189.73
0 8 1627.9 486.43
1 8 760.01 543.79
2 8 600.81 447.28
3 8 653.47 633.76
6 8 778.11 334.28
7 8 909.25 573.2
12 8 -233.88 -267.13
17 8 -1242.18 1021.54
0 9 451.53 438.14
1 9 -1130.42 755.96
2 9 -376.02 395.35
4 9 829.01 458.58
7 9 180.16 516.94
8 9 -890.43 659.83
9 9 -396.92 436.71
10 9 -295.59 -227.2
11 9 259.91 365.85
12 9 -922.31 -323.3
18 9 -517.74 156.66
20 9 -439.35 -63.61
0 10 1696.48 183.52
1 10 1206.88 117.19
7 10 982.05 324.74
8 10 998.1 219.86
9 10 583.81 200.65
10 10 402.44 -396.15
12 10 -151.64 -522.56
17 10 -770.72 423.37
18 10 88.11 -3.48999
0 11 1696.48 183.52
1 11 1206.88 117.19
6 11 1014.67 40.53
8 11 998.1 219.86
9 11 583.81 200.65
10 11 402.44 -396.15
12 11 -151.64 -522.56
17 11 -770.63 423.22
18 11 88.11 -3.48999
20 11 82.35 -198.28
0 12 546.97 175.05
1 12 -945.42 170.33
2 12 -293.16 80.88
3 12 -924.92 297.69
4 12 882.25 313.06
5 12 442.59 688.69
6 12 -543.61 109.56
9 12 -327.27 199.94
10 12 -247.29 -396.19
11 12 322.79 138.29
12 12 -873.05 -510.08
0 13 1593.74 177.69
1 13 1026.04 107.8
6 13 877.49 35.27
8 13 857.15 211.95
12 13 -209.19 -523.18
17 13 -920 422.26
0 14 1491.96 251.04
1 14 752.66 219.2
2 14 617.01 157.56
6 14 705.01 114.28
12 14 -283.29 -459.62
16 14 925.95 393.3
17 14 -1182.13 572.31
0 15 1592.22 486.9
1 15 715.41 545.22
3 15 610.62 635.62
6 15 743.65 335.98
16 15 981.56 546.73
0 16 1592.22 486.9
1 16 715.41 545.22
2 16 572.76 447.23
3 16 610.62 635.62
6 16 743.65 335.98
7 16 886.91 574.91
12 16 -255.83 -263.47
16 16 981.56 546.73
17 16 -1291.75 1028.63
0 17 463.97 458.22
1 17 -1101.98 791.15
2 17 -366.84 424.65
4 17 836.62 471.73
5 17 350.62 890.13
7 17 187.03 531.76
8 17 -867.8 690.61
9 17 -388.61 458.6
11 17 265.96 388.84
18 17 -513.26 168.42
20 17 -435.29 -51.4
0 18 1101.11 296.62
1 18 -206.89 213.37
4 18 1288.59 448.65
5 18 953.79 905.57
6 18 150.08 98.69
8 18 247.73 363.57
13 18 -1198.57 1023.26
16 18 678.03 458.88
0 19 1101.11 296.62
1 19 -206.89 213.37
4 19 1288.59 448.65
5 19 953.79 905.57
8 19 247.73 363.57
11 19 431.77 374.5
16 19 678.03 458.88
0 20 1123.84 172.86
1 20 -164.29 17.92
4 20 1298.78 362.65
8 20 276.12 182.04
0 21 1155.68 149.72
1 21 -116.55 -22.56
4 21 1320.77 347.04
6 21 203.23 -62.93
8 21 321.37 146.48
9 21 -115.82 285.44
10 21 -68.78 -369.95
12 21 -632.9 -447.67
13 21 -1005.33 532.6
16 21 712.92 367.28
0 22 1132.12 168.67
1 22 -152.25 10.79
4 22 1304.23 359.56
5 22 986.17 797.61
6 22 178.85 -39.32
8 22 288 175.86
12 22 -651.43 -431.29
0 23 1100.68 305.93
1 23 -207.25 227.71
4 23 1288.47 454.68
5 23 952.32 914.14
6 23 150.26 108.68
8 23 247.42 377.12
9 23 -184.16 456.99
11 23 431.57 384.48
13 23 -1198.44 1052.4
16 23 678.19 464.24
20 23 -316.56 -60.17
0 24 1648.78 490.23
1 24 797.96 544.76
2 24 627.69 447.16
3 24 691.1 633.13
12 24 -221.37 -264.72
17 24 -1205.76 1023.61
0 25 854.39 160.32
1 25 -432.1 70.02
4 25 1076.26 320.88
5 25 698.92 727.21
6 25 -112.09 19.69
7 25 394.03 336.76
9 25 -181.95 225.45
10 25 -134.12 -392.07
12 25 -732.61 -493.71
13 25 -1286.68 471.89
20 25 -323.9 -178.94
0 26 819.21 181.63
1 26 -482.59 115.7
3 26 -528.48 220.14
4 26 1053.4 332.38
5 26 666.15 738.27
6 26 -154.34 53.32
7 26 376.26 351.43
0 27 786.4 10.25
1 27 -534.69 -202.27
6 27 -210.38 -164.49
7 27 360.56 223.15
10 27 -154.97 -492.54
11 27 429.75 18.59
13 27 -1390.04 21.98
18 27 -402.9 -70.43
0 28 800.01 21.9301
1 28 -512.02 -187.83
4 28 1037.97 236.44
0 29 814.44 123.01
1 29 -488.37 8.15002
4 29 1048.43 296.45
5 29 665.67 691.24
6 29 -168.13 -17.42
7 29 376.15 305.06
9 29 -193.01 183.15
11 29 444.5 120.78
13 29 -1327.88 350.43
18 29 -391.6 -4.54004
0 30 877.66 164.87
1 30 -402.41 66.6599
3 30 -468.06 168.49
4 30 1093.54 327.73
5 30 719.56 736.89
7 30 403.03 337.72
8 30 -154.03 192.28
0 31 694.79 234.52
1 31 -673.12 253.18
2 31 -211.5 162.26
3 31 -687 374.06
4 31 972.64 354.92
5 31 556.31 757.09
6 31 -317.84 156.37
7 31 313.45 379.97
9 31 -255.61 271.39
12 31 -803.66 -455.4
13 31 -1536.95 669.82
18 31 -429.64 51.96
0 32 694.79 234.52
1 32 -673.12 253.18
2 32 -211.5 162.26
3 32 -687 374.06
4 32 972.64 354.92
5 32 556.31 757.09
6 32 -317.84 156.37
7 32 313.45 379.97
9 32 -255.61 271.39
12 32 -803.66 -455.4
13 32 -1536.95 669.82
18 32 -429.64 51.96
0 33 834.04 105.1
1 33 -464.93 -29.45
4 33 1062.99 287.41
5 33 687.36 681.28
6 33 -140.24 -47.41
7 33 381.85 294.45
10 33 -142.5 -427.92
11 33 440.85 109.37
12 33 -745.82 -536.05
13 33 -1332.63 308.81
20 33 -332.68 -207.64
0 34 770.48 119.27
1 34 -554.32 10.84
2 34 -165.76 29.54
3 34 -580.28 112.61
6 34 -223.05 -15.19
7 34 353.68 300.4
9 34 -214.86 173.86
10 34 -159.63 -422.67
11 34 424.67 112.53
12 34 -767.95 -532.41
18 34 -405.66 -9.58997
20 34 -343.11 -206.12
0 35 899.49 108.85
1 35 -369.4 -34.1801
2 35 -116.27 27.21
3 35 -444.34 59.96
4 35 1103.02 292.45
5 35 744.1 694.85
8 35 -119.57 102.3
9 35 -161.74 181.44
11 35 469.41 119.64
12 35 -715.39 -527.39
13 35 -1215.74 321.82
18 35 -369.9 -5.34998
20 35 -313.46 -202.23
0 36 874.98 111.48
1 36 -406.85 -24.76
4 36 1089.14 293.67
0 37 885.77 216.36
1 37 -392.99 167.45
3 37 -468.31 270.24
4 37 1101.02 357.96
5 37 723.59 777.42
7 37 406.03 381.62
8 37 -137.32 268.66
13 37 -1256.93 655.33
18 37 -378.19 58.8
20 37 -319.95 -146.96
0 38 660.35 241.42
1 38 -732.39 277.67
2 38 -224.26 166.45
3 38 -736.13 402.19
4 38 951.29 356.5
5 38 525.95 755.7
6 38 -366.98 174.85
7 38 296.96 382.9
9 38 -269.78 273.14
10 38 -201.36 -348.72
11 38 376.52 208.94
12 38 -816.97 -453.54
13 38 -1588.93 684.36
18 38 -439.83 53.49
20 38 -372.5 -152.29
0 39 977.97 219.63
1 39 -278.56 139.57
4 39 1171.04 371.18
5 39 811.3 801.71
8 39 21.74 268.56
16 39 628.39 390.28
